year,block,flow_type,rubric,value_pct_gdp,source,chart
2065,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2066,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2067,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2068,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2069,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2070,"Pensiones CPE","","Saldo",0,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2020,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",9.196106,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2021,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",9.211221,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2022,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",9.060287,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2023,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",9.244238,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2024,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",9.383867,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2025,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",9.474375,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2026,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",9.514924,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2027,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",9.528758,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2028,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",9.542612,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2029,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",9.556174,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2030,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",9.650042,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2031,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",9.740245,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2032,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",9.823679,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2033,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",9.853946,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2034,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",9.883507,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2035,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",9.911231,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2036,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",9.935151,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2037,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",9.957072,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2038,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",9.981897,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2039,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.007853,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2040,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.026293,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2041,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.043443,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2042,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.06113,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2043,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.075805,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2044,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.091392,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
2045,"Pensiones contributivas","Ingreso","Cotizaciones SSS dedicadas a pensiones",10.106764,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico RE_2.1"
