year,scenario,pension_spending_pct_gdp,source,chart
2052,"Informe Envejecimiento 2024 actualizado",16.349039,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2053,"Informe Envejecimiento 2024 actualizado",16.336073,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2054,"Informe Envejecimiento 2024 actualizado",16.30573,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2055,"Informe Envejecimiento 2024 actualizado",16.260979,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2056,"Informe Envejecimiento 2024 actualizado",16.206356,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2057,"Informe Envejecimiento 2024 actualizado",16.142908,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2058,"Informe Envejecimiento 2024 actualizado",16.076317,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2059,"Informe Envejecimiento 2024 actualizado",16.009579,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2060,"Informe Envejecimiento 2024 actualizado",15.943737,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2061,"Informe Envejecimiento 2024 actualizado",15.882448,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2062,"Informe Envejecimiento 2024 actualizado",15.827298,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2063,"Informe Envejecimiento 2024 actualizado",15.780786,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2064,"Informe Envejecimiento 2024 actualizado",15.744436,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2065,"Informe Envejecimiento 2024 actualizado",15.718823,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2066,"Informe Envejecimiento 2024 actualizado",15.70474,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2067,"Informe Envejecimiento 2024 actualizado",15.704067,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2068,"Informe Envejecimiento 2024 actualizado",15.718327,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2069,"Informe Envejecimiento 2024 actualizado",15.748482,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
2070,"Informe Envejecimiento 2024 actualizado",15.795798,"AIReF, Informe sobre la regla de gasto de pensiones, marzo 2025","Grafico 3"
