"anio","ambito_geografico","sexo","edad","poblacion_residente_1_enero_personas","naturaleza","escenario","tipo_dato_ine","fuente"
"2024","Total Nacional","Mujeres","53 años","380959","proyeccion","Proyeccion a largo plazo","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36643"
"2024","Total Nacional","Mujeres","54 años","376750","proyeccion","Proyeccion a largo plazo","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36643"
"2024","Total Nacional","Mujeres","55 años","373939","proyeccion","Proyeccion a largo plazo","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36643"
"2024","Total Nacional","Mujeres","56 años","376382","proyeccion","Proyeccion a largo plazo","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36643"
"2024","Total Nacional","Mujeres","57 años","366339","proyeccion","Proyeccion a largo plazo","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36643"
"2024","Total Nacional","Mujeres","58 años","364022","proyeccion","Proyeccion a largo plazo","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36643"
"2024","Total Nacional","Mujeres","59 años","368073","proyeccion","Proyeccion a largo plazo","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36643"
"2024","Total Nacional","Mujeres","60 años","349178","proyeccion","Proyeccion a largo plazo","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36643"
"2024","Total Nacional","Mujeres","61 años","337889","proyeccion","Proyeccion a largo plazo","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36643"
"2024","Total Nacional","Mujeres","62 años","329392","proyeccion","Proyeccion a largo plazo","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36643"
"2024","Total Nacional","Mujeres","63 años","329638","proyeccion","Proyeccion a largo plazo","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36643"
"2024","Total Nacional","Mujeres","64 años","319397","proyeccion","Proyeccion a largo plazo","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36643"
