"anio","ambito_geografico","sexo","esperanza_vida_nacimiento_anios","tipo_dato","fuente"
"2016","Total Nacional","Hombres","80,26","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2016","Total Nacional","Mujeres","85,82","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2017","Total Nacional","Ambos sexos","83,05","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2017","Total Nacional","Hombres","80,32","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2017","Total Nacional","Mujeres","85,71","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2018","Total Nacional","Ambos sexos","83,15","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2018","Total Nacional","Hombres","80,4","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2018","Total Nacional","Mujeres","85,83","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2019","Total Nacional","Ambos sexos","83,53","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2019","Total Nacional","Hombres","80,78","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2019","Total Nacional","Mujeres","86,19","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2020","Total Nacional","Ambos sexos","82,28","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2020","Total Nacional","Hombres","79,52","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2020","Total Nacional","Mujeres","85,04","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2021","Total Nacional","Ambos sexos","83,03","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2021","Total Nacional","Hombres","80,2","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2021","Total Nacional","Mujeres","85,81","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2022","Total Nacional","Ambos sexos","83,08","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2022","Total Nacional","Hombres","80,36","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2022","Total Nacional","Mujeres","85,74","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2023","Total Nacional","Ambos sexos","83,77","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2023","Total Nacional","Hombres","81,11","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2023","Total Nacional","Mujeres","86,34","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2024","Total Nacional","Ambos sexos","84,01","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2024","Total Nacional","Hombres","81,38","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
"2024","Total Nacional","Mujeres","86,53","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414"
