"anio","ambito_geografico","sexo","indicador","estado_dato","tipo_dato_ine","fuente","url_api","esperanza_vida_nacimiento_anios"
"2013","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","79.92"
"2013","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","85.53"
"2014","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","80.1"
"2014","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","85.63"
"2015","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","79.89"
"2015","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","85.39"
"2016","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","80.26"
"2016","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","85.82"
"2017","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","80.32"
"2017","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","85.71"
"2018","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","80.4"
"2018","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","85.83"
"2019","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","80.78"
"2019","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","86.19"
"2020","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","79.52"
"2020","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","85.04"
"2021","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","80.2"
"2021","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","85.81"
"2022","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","80.36"
"2022","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","85.74"
"2023","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","81.11"
"2023","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","86.34"
"2024","Total Nacional","Hombres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","81.38"
"2024","Total Nacional","Mujeres","Esperanza de vida al nacimiento","observado","Definitivo","INE - Indicadores Demograficos Basicos, tabla API 1414","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/1414?tip=AM","86.53"
"2025","Total Nacional","Hombres","Esperanza de vida al nacimiento","proyectado","Definitivo","INE - Proyecciones de Poblacion 2024-2074, tabla API 36775","https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/36775?tip=AM","80.913439"
