"ano","variable","escenario","valor_pct_pib","unidad","estado_dato","fuente","detalle_fuente"
"2070","gasto_pensiones_publicas_bruto","baseline","16.702","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESb row 7 Public pensions, gross"
"2022","gasto_sanitario_publico","baseline","5.9105","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2023","gasto_sanitario_publico","baseline","5.8392","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2024","gasto_sanitario_publico","baseline","5.8712","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2025","gasto_sanitario_publico","baseline","5.9168","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2026","gasto_sanitario_publico","baseline","5.9632","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2027","gasto_sanitario_publico","baseline","6.0158","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2028","gasto_sanitario_publico","baseline","6.0674","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2029","gasto_sanitario_publico","baseline","6.1214","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2030","gasto_sanitario_publico","baseline","6.1716","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2031","gasto_sanitario_publico","baseline","6.2263","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2032","gasto_sanitario_publico","baseline","6.277","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2033","gasto_sanitario_publico","baseline","6.3294","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
