Sexo;Distintos grupos de edad;Tipo de tasa;Periodo;Total
ambos sexos;de 16 a 19 años;tasas de actividad;2001TIV;25,57
ambos sexos;de 16 a 19 años;tasas de actividad;2001TIII;27,77
ambos sexos;de 16 a 19 años;tasas de actividad;2001TII;24,67
ambos sexos;de 16 a 19 años;tasas de actividad;2001TI;24,37
ambos sexos;de 16 a 19 años;tasas de actividad;2000TIV;26,00
ambos sexos;de 16 a 19 años;tasas de actividad;2000TIII;28,39
ambos sexos;de 16 a 19 años;tasas de actividad;2000TII;25,83
ambos sexos;de 16 a 19 años;tasas de actividad;2000TI;24,86
ambos sexos;de 16 a 19 años;tasas de actividad;1999TIV;25,79
ambos sexos;de 16 a 19 años;tasas de actividad;1999TIII;26,57
ambos sexos;de 16 a 19 años;tasas de actividad;1999TII;24,25
ambos sexos;de 16 a 19 años;tasas de actividad;1999TI;24,52
ambos sexos;de 16 a 19 años;tasas de actividad;1998TIV;24,60
ambos sexos;de 16 a 19 años;tasas de actividad;1998TIII;25,53
ambos sexos;de 16 a 19 años;tasas de actividad;1998TII;23,88
ambos sexos;de 16 a 19 años;tasas de actividad;1998TI;23,14
ambos sexos;de 16 a 19 años;tasas de actividad;1997TIV;23,60
ambos sexos;de 16 a 19 años;tasas de actividad;1997TIII;24,78
ambos sexos;de 16 a 19 años;tasas de actividad;1997TII;23,68
ambos sexos;de 16 a 19 años;tasas de actividad;1997TI;23,54
ambos sexos;de 16 a 19 años;tasas de actividad;1996TIV;24,56
ambos sexos;de 16 a 19 años;tasas de actividad;1996TIII;25,51
ambos sexos;de 16 a 19 años;tasas de actividad;1996TII;23,49
ambos sexos;de 16 a 19 años;tasas de actividad;1996TI;23,62
ambos sexos;de 16 a 19 años;tasas de paro;2004TIV;29,08
ambos sexos;de 16 a 19 años;tasas de paro;2004TIII;28,99
ambos sexos;de 16 a 19 años;tasas de paro;2004TII;31,88
ambos sexos;de 16 a 19 años;tasas de paro;2004TI;32,65
ambos sexos;de 16 a 19 años;tasas de paro;2003TIV;31,80
ambos sexos;de 16 a 19 años;tasas de paro;2003TIII;31,40
ambos sexos;de 16 a 19 años;tasas de paro;2003TII;33,94
ambos sexos;de 16 a 19 años;tasas de paro;2003TI;33,68
ambos sexos;de 16 a 19 años;tasas de paro;2002TIV;31,46
ambos sexos;de 16 a 19 años;tasas de paro;2002TIII;30,10
ambos sexos;de 16 a 19 años;tasas de paro;2002TII;29,39
ambos sexos;de 16 a 19 años;tasas de paro;2002TI;28,25
ambos sexos;de 16 a 19 años;tasas de paro;2001TIV;29,38
ambos sexos;de 16 a 19 años;tasas de paro;2001TIII;27,34
ambos sexos;de 16 a 19 años;tasas de paro;2001TII;30,32
ambos sexos;de 16 a 19 años;tasas de paro;2001TI;29,59
ambos sexos;de 16 a 19 años;tasas de paro;2000TIV;33,75
ambos sexos;de 16 a 19 años;tasas de paro;2000TIII;32,54
ambos sexos;de 16 a 19 años;tasas de paro;2000TII;34,10
ambos sexos;de 16 a 19 años;tasas de paro;2000TI;37,22
ambos sexos;de 16 a 19 años;tasas de paro;1999TIV;37,77
ambos sexos;de 16 a 19 años;tasas de paro;1999TIII;35,28
ambos sexos;de 16 a 19 años;tasas de paro;1999TII;38,16
ambos sexos;de 16 a 19 años;tasas de paro;1999TI;40,59
ambos sexos;de 16 a 19 años;tasas de paro;1998TIV;43,42
ambos sexos;de 16 a 19 años;tasas de paro;1998TIII;43,22
ambos sexos;de 16 a 19 años;tasas de paro;1998TII;44,43
ambos sexos;de 16 a 19 años;tasas de paro;1998TI;46,96
ambos sexos;de 16 a 19 años;tasas de paro;1997TIV;49,76
ambos sexos;de 16 a 19 años;tasas de paro;1997TIII;50,86
ambos sexos;de 16 a 19 años;tasas de paro;1997TII;51,02
ambos sexos;de 16 a 19 años;tasas de paro;1997TI;51,91
ambos sexos;de 16 a 19 años;tasas de paro;1996TIV;52,12
ambos sexos;de 16 a 19 años;tasas de paro;1996TIII;50,26
ambos sexos;de 16 a 19 años;tasas de paro;1996TII;50,86
ambos sexos;de 16 a 19 años;tasas de paro;1996TI;50,20
ambos sexos;de 16 a 19 años;tasas de empleo;2004TIV;17,93
ambos sexos;de 16 a 19 años;tasas de empleo;2004TIII;19,85
ambos sexos;de 16 a 19 años;tasas de empleo;2004TII;16,76
ambos sexos;de 16 a 19 años;tasas de empleo;2004TI;16,17
ambos sexos;de 16 a 19 años;tasas de empleo;2003TIV;17,01
ambos sexos;de 16 a 19 años;tasas de empleo;2003TIII;18,49
ambos sexos;de 16 a 19 años;tasas de empleo;2003TII;16,71
ambos sexos;de 16 a 19 años;tasas de empleo;2003TI;15,97
ambos sexos;de 16 a 19 años;tasas de empleo;2002TIV;17,18
ambos sexos;de 16 a 19 años;tasas de empleo;2002TIII;19,00
ambos sexos;de 16 a 19 años;tasas de empleo;2002TII;17,37
ambos sexos;de 16 a 19 años;tasas de empleo;2002TI;18,07
ambos sexos;de 16 a 19 años;tasas de empleo;2001TIV;18,06
ambos sexos;de 16 a 19 años;tasas de empleo;2001TIII;20,18
ambos sexos;de 16 a 19 años;tasas de empleo;2001TII;17,19
ambos sexos;de 16 a 19 años;tasas de empleo;2001TI;17,16
ambos sexos;de 16 a 19 años;tasas de empleo;2000TIV;17,22
ambos sexos;de 16 a 19 años;tasas de empleo;2000TIII;19,15
ambos sexos;de 16 a 19 años;tasas de empleo;2000TII;17,02
ambos sexos;de 16 a 19 años;tasas de empleo;2000TI;15,60
ambos sexos;de 16 a 19 años;tasas de empleo;1999TIV;16,05
ambos sexos;de 16 a 19 años;tasas de empleo;1999TIII;17,19
ambos sexos;de 16 a 19 años;tasas de empleo;1999TII;15,00
ambos sexos;de 16 a 19 años;tasas de empleo;1999TI;14,57
ambos sexos;de 16 a 19 años;tasas de empleo;1998TIV;13,92
ambos sexos;de 16 a 19 años;tasas de empleo;1998TIII;14,50
ambos sexos;de 16 a 19 años;tasas de empleo;1998TII;13,27
ambos sexos;de 16 a 19 años;tasas de empleo;1998TI;12,28
ambos sexos;de 16 a 19 años;tasas de empleo;1997TIV;11,86
ambos sexos;de 16 a 19 años;tasas de empleo;1997TIII;12,18
ambos sexos;de 16 a 19 años;tasas de empleo;1997TII;11,60
ambos sexos;de 16 a 19 años;tasas de empleo;1997TI;11,32
ambos sexos;de 16 a 19 años;tasas de empleo;1996TIV;11,76
ambos sexos;de 16 a 19 años;tasas de empleo;1996TIII;12,69
ambos sexos;de 16 a 19 años;tasas de empleo;1996TII;11,54
ambos sexos;de 16 a 19 años;tasas de empleo;1996TI;11,77
ambos sexos;de 20 a 24 años;tasas de actividad;2004TIV;63,87
ambos sexos;de 20 a 24 años;tasas de actividad;2004TIII;65,82
ambos sexos;de 20 a 24 años;tasas de actividad;2004TII;64,16
ambos sexos;de 20 a 24 años;tasas de actividad;2004TI;63,36
ambos sexos;de 20 a 24 años;tasas de actividad;2003TIV;63,33
ambos sexos;de 20 a 24 años;tasas de actividad;2003TIII;64,92
ambos sexos;de 20 a 24 años;tasas de actividad;2003TII;62,42
ambos sexos;de 20 a 24 años;tasas de actividad;2003TI;61,86
ambos sexos;de 20 a 24 años;tasas de actividad;2002TIV;61,88
ambos sexos;de 20 a 24 años;tasas de actividad;2002TIII;62,98
